P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
120181,azure pale hot ghost brown,Manufacturer#5,Brand#55,PROMO BURNISHED NICKEL,30,SM CAN,1201.18,hy dolphin
120189,rose turquoise purple salmon linen,Manufacturer#4,Brand#43,LARGE BURNISHED NICKEL,30,MED BAG,1209.18,requests sleep qu
120213,light khaki sienna peach dodger,Manufacturer#5,Brand#54,STANDARD PLATED COPPER,23,MED PKG,1233.21, silent requests subl
120247,metallic maroon seashell aquamarine cyan,Manufacturer#3,Brand#33,LARGE BURNISHED STEEL,16,MED JAR,1267.24,ons ca
120381,chocolate metallic cyan misty chartreuse,Manufacturer#1,Brand#11,SMALL BURNISHED COPPER,28,LG BOX,1401.38,sts wake blithely fu
120388,dodger salmon slate turquoise sienna,Manufacturer#4,Brand#45,STANDARD BURNISHED TIN,18,JUMBO PACK,1408.38,cing foxes use. care
120712,lime midnight honeydew pale green,Manufacturer#1,Brand#15,ECONOMY BURNISHED BRASS,14,JUMBO DRUM,1732.71,"ic, ironic accounts ag"
120716,aquamarine chiffon drab lemon green,Manufacturer#4,Brand#41,MEDIUM BURNISHED NICKEL,37,LG DRUM,1736.71,pecial accounts 
120798,puff yellow burnished seashell moccasin,Manufacturer#3,Brand#31,ECONOMY POLISHED STEEL,50,MED BAG,1818.79,y express theodolites.
120830,burnished frosted moccasin olive indian,Manufacturer#2,Brand#23,ECONOMY POLISHED NICKEL,11,WRAP BOX,1850.83,nts. furiously 
120961,blanched pink yellow tan beige,Manufacturer#5,Brand#51,ECONOMY BURNISHED TIN,28,WRAP BAG,1981.96,hily pending account
121013,moccasin red powder dodger cornflower,Manufacturer#2,Brand#25,LARGE BRUSHED TIN,43,MED CAN,1034.01,s. even
121132,misty spring red blanched saddle,Manufacturer#1,Brand#12,SMALL POLISHED BRASS,35,JUMBO PACK,1153.13,s furiously
121333,powder blanched honeydew sienna yellow,Manufacturer#3,Brand#34,STANDARD BURNISHED STEEL,17,JUMBO PKG,1354.33,hely on the furious
121457,rose royal orchid lavender saddle,Manufacturer#4,Brand#43,MEDIUM BRUSHED STEEL,28,SM JAR,1478.45,s hagg
121560,misty olive black cream yellow,Manufacturer#3,Brand#31,ECONOMY BURNISHED BRASS,43,SM BAG,1581.56,"ic, close senti"
180115,cornsilk yellow blush light orange,Manufacturer#5,Brand#52,MEDIUM BURNISHED COPPER,39,LG JAR,1195.11,ilent ideas wake sly
121725,turquoise chiffon maroon yellow dark,Manufacturer#2,Brand#24,SMALL BURNISHED NICKEL,12,JUMBO CAN,1746.72, speci
121742,cream honeydew dodger lemon plum,Manufacturer#3,Brand#33,STANDARD BURNISHED TIN,10,WRAP BOX,1763.74,lyly ironic deposits. 
