S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,S_COMMENT
2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,15-679-861-2259,4032.68, slyly bold instructions. idle dependen
3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,11-383-516-1199,4192.4,blithely silent requests after the express dependencies are sl
4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,25-843-787-7479,4641.08,riously even requests above the exp
6,Supplier#000000006,tQxuVm7s7CnK,14,24-696-997-4969,1365.79,final accounts. regular dolphins use against the furiously ironic decoys. 
8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,27-498-742-3860,7627.85,al pinto beans. asymptotes haggl
9,Supplier#000000009,1KhUgZegwM3ua7dsYmekYBsK,10,20-403-398-8662,5302.37,"s. unusual, even requests along the furiously regular pac"
12,Supplier#000000012,aLIW  q0HYd,8,18-179-925-7181,1432.69,"al packages nag alongside of the bold instructions. express, daring accounts"
13,Supplier#000000013,"HK71HQyWoqRWOX8GI FpgAifW,2PoH",3,13-727-620-7813,9107.22,requests engage regularly instructions. furiously special requests ar
14,Supplier#000000014,EXsnO5pTNj4iZRm,15,25-656-247-5058,9189.82,l accounts boost. fluffily bold warhorses wake
22,Supplier#000000022,"okiiQFk 8lm6EVX6Q0,bEcO",4,14-144-830-2814,-966.2, ironically among the deposits. closely expre
23,Supplier#000000023,ssetugTcXc096qlD7 2TL5crEEeS3zk,9,19-559-422-5776,5926.41,"ges could have to are ironic deposits. regular, even request"
28,Supplier#000000028,"GBhvoRh,7YIN V",0,10-538-384-8460,-891.99,ld requests across the pinto beans are carefully against the quickly final courts. accounts sleep 
30,Supplier#000000030,84NmC1rmQfO0fj3zkobLT,16,26-940-594-4852,8080.14,"ias. carefully silent accounts cajole blithely. pending, special accounts cajole quickly above the f"
32,Supplier#000000032,yvoD3TtZSx1skQNCK8agk5bZlZLug,23,33-484-637-7873,3556.47,usly even depths. quickly ironic theodolites s
37,Supplier#000000037,cqjyB5h1nV,0,10-470-144-1330,3017.47,iously final instructions. quickly special accounts hang fluffily above the accounts. deposits
40,Supplier#000000040,zyIeWzbbpkTV37vm1nmSGBxSgd2Kp,22,32-231-247-6991,-290.06, final patterns. accounts haggle idly pas
50,Supplier#000000050,rGobqSMMYz0ErrPhCGS,9,19-561-560-7437,4515.87,"warhorses. ironic, regular accounts detect slyly after the quickly f"
51,Supplier#000000051,rDkBXb01POIKjOwrij62uM8O4,9,19-475-537-1368,7241.4,"ges nag at the blithely busy instructions. fluffy packages wake quickly. even, ironic ideas boost b"
57,Supplier#000000057,bEWqUVRR f0mb2o18Y,17,27-681-514-6892,-831.07,detect according to the furiously br
58,Supplier#000000058,01dEADIZoCULZXg,16,26-659-969-5586,92.44,"refully final foxes are. even, express courts according to the b"
61,Supplier#000000061,Oz0M1qBR9I,8,18-396-489-9719,6096.58,s the slyly regular ideas shall 
70,Supplier#000000070,"INWNH2w,OOWgNDq0BRCcBwOMQc6PdFDc4",6,16-821-608-1166,9508.37,ests sleep quickly express ideas. ironic ideas haggle about the final T
71,Supplier#000000071,YFo8an7P6wi Q,1,11-743-919-7272,8179.68," final accounts. bold, final escapades must have to cajole about the special platelets. fu"
76,Supplier#000000076,JBhSBa3cLYvNgHUYtUHmtECCD,14,24-228-763-7840,2971.1,", even instructions. furiously unusual deposits wake slyly about the ev"
78,Supplier#000000078,9y3OZ2CV hGrsrQxzB7V3zTtygHVHlG3SD6yrz,5,15-670-998-6860,1044.1,", regular packages wake quickly bold requests. carefully unusual requests about the unusual request"
79,Supplier#000000079,p0u3tztSXUD2J8vFfLNFNKsrRRv7qyUtTBTA,14,24-402-227-9600,1191.94,nto beans integrate slyly across the fluffily pending multipliers. carefully ste
80,Supplier#000000080,"cJ2MHSEJ13rIL2Wj3D5i6hRo30,ZiNUXhqn",21,31-646-289-1906,-40.45,ackages. blithely bold requests wake quickly. carefully regular foxes are slyly instructions. caref
81,Supplier#000000081,"SLlacbhgpKmVa,gF3saYv12e0",12,22-535-310-6971,166.32,oost carefully quickly regular packages. carefully final excuses sleep blithely slyly pendi
86,Supplier#000000086,J1fgg5QaqnN,19,29-903-665-7065,1883.37,"cajole furiously special, final requests: furiously spec"
88,Supplier#000000088,yOshY8wwzMgS,11,21-191-938-9469,3086.13,furiously special excuses aff
89,Supplier#000000089,fhtzZcSorhud1,9,19-259-876-1014,1638.02,en instructions across the slyly ironic requests engage
9002,Supplier#000009002,8PAqvKqo00,10,20-360-566-1480,16.56,hely express deposits sleep. carefully special gifts according to the acc
9007,Supplier#000009007,"39UHgveOhYkEwzdIr,hDui1EcCnlhD6iF2wO",5,15-645-562-3510,2369.72,bout the accounts sleep blithely packages. quick accounts alongside 
9010,Supplier#000009010,Ft95sVR9Tbr,22,32-690-758-7248,3728.9,usual instructions above the slyly unusual pac
9013,Supplier#000009013,"MJ0bHctTH,qRRt",19,29-513-589-4374,2892.54,counts. quickly even forges cajole carefully across the carefully 
9018,Supplier#000009018,"3f2cOg,VutETPkzSo3cNTONdWkIkqzz ",18,28-230-488-1227,4718.96,ackages. regular accounts sleep blithely platelets. quickly final somas boo
9020,Supplier#000009020,JaTDiZo5RHvqv1K4wzwLFqTa,10,20-515-199-3757,4556.82,ons sublate slyly after the quickly bold frays.
9023,Supplier#000009023,",JQVPGb5Q7GiTz4Ys",8,18-579-828-6514,2618.77,he ironic warhorses. even foxes cajole blithely fluffily silent theodolites. slyly fin
9037,Supplier#000009037,TN4MfTE8ywhIE,19,29-665-258-1017,3125.76,", special ideas. furiously"
9038,Supplier#000009038,"Ij8T0D9Fdkga2TeG7e,s5yYkuG6YF",19,29-665-277-1087,7662.93,hely special requests after the furiously final pinto beans cajole slyly even requests: carefu
9041,Supplier#000009041,02NwJ8FFNyYurwCWNshQYd0xU,0,10-637-812-6249,1983.64,"st the carefully ironic accounts. final, bold pinto "
9043,Supplier#000009043,"57OPvKH4qyXIZ7IzYeCaw11a5N1Ki9f1WWmVQ,",3,13-721-447-6674,4484.67,ate carefully. blithely unusual requests 
9044,Supplier#000009044,IUQ45yv2CVGeB,8,18-532-417-2644,-208.23, until the slyly final packages. foxes sleep pinto beans. ironic asymptotes about the 
9045,Supplier#000009045,XCXQUEIp36OKslCv7bLMnYnSxdAMPk3t,18,28-840-440-7483,7233.31,ul packages. ironic packages cajole quickly. unusual requests wake daringly ab
9046,Supplier#000009046,G9I6PPy6WcBpsOPcO4CMORttcmxvbedNG,11,21-928-727-4078,7218.71,"ptotes cajole. busy hockey players cajole stealthily pending, regular acco"
9049,Supplier#000009049,g4dvfWujwb,23,33-903-164-9041,6668.15,"ependencies are carefully around the ironic foxes. regular, pending packages wake car"
9057,Supplier#000009057,9X8yfLTApewvoHy5d,12,22-542-862-8502,2716.56,egular accounts cajole slyly slyly unusual requests. carefully pending theodolites are
9059,Supplier#000009059,8hio036bAERfw4xaGtLAYlI0qfTu3Lsa1,7,17-878-236-8956,4918.07,sly across the even instructions. slyly regular foxes are carefully along the furiously bold 
9063,Supplier#000009063,"Bi2Bk7wvzgXHCAoqH6t,r",9,19-227-328-4842,5601.65,nding accounts cajole furiously. deposits cajole carefully fluffily regula
9066,Supplier#000009066,"e3MOn5,2mrRJ1FVYrPHNBhmZn",1,11-223-726-7237,281.13, accounts nag blithely after 
9069,Supplier#000009069,pJUQfs44ak8WCNutFki,17,27-890-324-3523,6643.21,ole among the express requests. blithely silent deposits us
9072,Supplier#000009072,SElQfI7y90sSiv7QyojGyuviKsga8xKExYAWX,14,24-420-730-4891,3017.74," slyly regular accounts nag at the bold, regular requests. packages boost. careful"
9075,Supplier#000009075,JDXUmrLAybQmdEDp8ANtLjWPdl,0,10-626-369-1805,415.13,"ording to the furiously regular accounts wake above the packages. regular, pending "
9076,Supplier#000009076,"tPB3z0Il783Aok,",19,29-952-420-6082,990.16,"ual, bold dolphins. express dependencies above the regular, final courts haggle s"
9079,Supplier#000009079,"WJ0NpgRuusAnQR871,TSE4X",2,12-833-892-9506,3075.73, dazzle furiously about the ac
9091,Supplier#000009091,"lbaCDQ7 x3WK,kz9P0Mu0wUcpqg1gaAIUU",4,14-169-838-5652,-559.38,arefully even theodolites. carefully final asymptotes are slyly final 
3003,Supplier#000003003,"8P71Pj89GiBowF,bvouOI vLK74vOCllIy1GYUJ1",4,14-926-417-9940,545.44, foxes. instructions x-ray 
3005,Supplier#000003005,"7xWPGUbOUoeiPLNo,r",1,11-352-166-3995,-361.14,"s; unusual, bold dependencies affix q"
3008,Supplier#000003008,"TSt8rc4Usc 1UdSD,6VwiuG2XS0tBzY",9,19-634-851-5012,9080.4,are. blithely dogged pinto beans about the carefully even pinto beans sleep furio
3012,Supplier#000003012,5rgJwAVOqj6KqSAKn2eX,9,19-119-699-4000,4611.45,ual packages-- regular pinto beans x-ray quickly above t
